clave,fecha,lat,lon,CRW_SST,CRW_SSTANOMALY,CRW_HOTSPOT,CRW_DHW,estado
2025-08-19|19.725|-156.075,2025-08-19,19.705972,-156.050944,27.21,0.2,-0.04,0.0,ok
2025-08-29|9.325|-82.225,2025-08-29,9.327556,-82.220333,29.23,1.07,0.77,0.35000000000000003,ok
2024-12-05|-8.725|115.875,2024-12-05,-8.725000,115.867500,29.67,1.27,0.98,5.62,ok
2025-02-07|-8.775|115.875,2025-02-07,-8.751389,115.893889,28.03,-0.42,-0.61,4.47,ok
2023-06-04|16.175|-61.125,2023-06-04,16.175139,-61.105583,28.34,1.21,0.1,0.0,ok
2024-02-17|25.625|56.325,2024-02-17,25.603694,56.347667,24.18,1.23,-8.26,0.0,ok
2025-06-25|6.475|117.925,2025-06-25,6.498250,117.927222,29.3,-0.05,-0.12,2.19,ok
2025-07-13|-8.675|115.475,2025-07-13,-8.683333,115.486111,28.1,1.18,-0.38,1.92,ok
2022-09-28|4.125|118.625,2022-09-28,4.115167,118.624778,29.92,1.08,0.68,0.15,ok
2021-02-13|-19.125|146.875,2021-02-13,-19.148333,146.870278,29.07,0.28,0.28,0.49,ok
2023-07-24|2.175|104.125,2023-07-24,2.184000,104.106833,29.07,0.25,-0.54,0.2,ok
2021-08-23|4.825|103.675,2021-08-23,4.812806,103.675944,29.490000000000002,1.03,-0.11,0.0,ok
2022-06-09|-16.375|145.575,2022-06-09,-16.383167,145.562667,26.07,1.96,-2.81,0.0,ok
2021-08-09|25.325|34.725,2021-08-09,25.334222,34.744583,30.89,2.47,2.27,2.43,ok
2023-06-14|2.675|103.875,2023-06-14,2.652528,103.883056,28.76,-0.53,-0.86,0.48,ok
2024-02-15|-8.675|115.525,2024-02-15,-8.676333,115.524028,29.490000000000002,1.06,0.9400000000000001,7.38,ok
2023-09-24|4.575|118.925,2023-09-24,4.555972,118.927111,29.580000000000002,0.81,0.35000000000000003,0.0,ok
2022-12-22|-8.675|115.525,2022-12-22,-8.676083,115.532167,29.0,0.53,0.45,0.66,ok
2024-10-02|-16.525|-151.725,2024-10-02,-16.542694,-151.740778,27.69,0.81,-1.25,0.0,vecino
2022-11-29|-23.425|151.925,2022-11-29,-23.443111,151.909389,25.400000000000002,0.38,-1.72,0.0,ok
2022-11-06|-23.425|151.925,2022-11-06,-23.434889,151.911000,23.79,-0.1,-3.33,0.0,ok
2021-08-30|25.025|-80.375,2021-08-30,25.043778,-80.368556,29.7,0.31,0.1,1.1500000000000001,ok
2025-07-02|6.525|117.925,2025-07-02,6.520389,117.929583,29.6,0.31,0.19,1.58,ok
2024-05-04|2.675|104.175,2024-05-04,2.668778,104.175306,30.87,1.34,1.28,2.86,ok
2023-02-05|-18.675|147.075,2023-02-05,-18.687233,147.096833,29.6,1.12,1.07,0.3,ok
2022-02-11|-19.175|146.825,2022-02-11,-19.198333,146.815167,29.5,0.68,0.67,7.0,ok
2024-12-17|-26.775|32.875,2024-12-17,-26.779611,32.899028,26.82,1.46,-0.15,0.0,ok
2024-12-11|-13.325|48.175,2024-12-11,-13.322111,48.161972,29.62,1.22,0.47000000000000003,0.0,ok
2024-12-14|6.975|117.025,2024-12-14,6.955750,117.010000,29.32,1.04,-0.45,0.0,ok
2024-06-29|4.125|118.625,2024-06-29,4.104306,118.635167,29.61,0.77,0.37,4.37,ok
2021-07-03|9.425|-76.175,2021-07-03,9.400861,-76.172667,29.69,0.64,0.62,0.0,ok
2025-07-25|-8.775|115.525,2025-07-25,-8.793889,115.526944,27.36,0.8,-1.11,1.3900000000000001,ok
2022-09-04|3.975|73.525,2022-09-04,3.995306,73.502139,27.82,-0.56,-1.86,0.0,ok
2023-10-23|2.475|103.975,2023-10-23,2.486389,103.952222,30.37,1.53,0.76,0.0,ok
2023-11-15|6.025|116.025,2023-11-15,6.008194,116.022028,30.94,1.67,0.87,0.0,ok
2021-08-23|-26.625|153.125,2021-08-23,-26.615028,153.112944,20.96,0.6900000000000001,-5.25,0.0,ok
2025-08-01|5.625|103.075,2025-08-01,5.615194,103.057222,30.37,1.3,0.5,0.0,ok
